Timestamp,MagX,MagY,MagZ,AreaCode,LocationCode
1717673941507,-20.643751,-39.84375,-27.562502,A,A2
1717673942521,-20.56875,-39.581253,-27.281252,A,A2
1717673943503,-19.987501,-38.9625,-27.54375,A,A2
1717673944520,-19.5375,-38.287502,-27.806252,A,A2
1717673945502,-19.087502,-37.4625,-28.3875,A,A2
1717673946520,-19.143751,-36.1875,-29.212502,A,A2
1717673947500,-19.125,-35.11875,-29.868752,A,A2
1717673948517,-18.768751,-35.006252,-29.79375,A,A2
1717673949505,-18.13125,-35.362503,-29.38125,A,A2
1717673951228,-18.075,-36.300003,-28.06875,A,A2
1717673952207,-18.300001,-37.893753,-25.66875,A,A2
1717673953222,-17.1,-39.768753,-22.5375,A,A2
1717673954203,-14.437501,-41.362503,-19.78125,A,A2
1717673955221,-10.950001,-42.54375,-17.775002,A,A2
1717673956209,-7.2937503,-43.21875,-16.40625,A,A2
1717673957222,-3.6937501,-43.66875,-15.4125,A,A2
1717673958202,0.075,-43.987503,-14.7375,A,A2
1717673959225,4.425,-44.04375,-14.26875,A,A2
1717673960204,8.925,-43.275,-15.187501,A,A2
1717673961228,12.3,-42.487503,-16.6875,A,A2
1717673962206,13.837501,-42.24375,-17.456251,A,A2
1717673963220,14.175,-42.412502,-17.53125,A,A2
1717673964212,13.481251,-42.84375,-17.4375,A,A2
1717673965220,11.71875,-43.21875,-17.212502,A,A2
1717673966207,9.84375,-43.78125,-16.725,A,A2
1717673967218,7.425,-44.49375,-16.087502,A,A2
1717673968208,5.34375,-45.412502,-15.1125,A,A2
1717673969228,3.6937501,-46.03125,-14.45625,A,A2
1717673970203,2.5125,-46.29375,-14.400001,A,A2
1717673971225,1.66875,-46.4625,-14.325001,A,A2
1717673972210,1.575,-46.518753,-14.2875,A,A2
1717673973221,2.5875,-46.575,-14.38125,A,A2
1717673974922,2.8500001,-46.631252,-14.325001,A,A2
1717673975903,1.3125,-46.068752,-14.625001,A,A2
1717673976922,-0.93750006,-45.075,-15.356251,A,A2
1717673977903,-3.91875,-43.85625,-16.35,A,A2
1717673978923,-6.58125,-42.43125,-17.5125,A,A2
1717673979909,-9.056251,-40.818752,-19.10625,A,A2
1717673980921,-11.6625,-39.28125,-20.90625,A,A2
1717673981905,-14.325001,-37.575,-23.212502,A,A2
1717673982927,-16.556252,-36.225002,-25.462502,A,A2
1717673983904,-17.15625,-36.43125,-25.968752,A,A2
1717673984924,-17.268751,-38.23125,-24.112501,A,A2
1717673985902,-17.362501,-40.331253,-21.73125,A,A2
1717673986924,-17.6625,-42.412502,-19.275002,A,A2
1717673987907,-18.1875,-44.381252,-17.081251,A,A2
1717673988916,-18.65625,-46.18125,-14.887501,A,A2
1717673989906,-19.10625,-48.075,-12.3,A,A2
1717673990920,-19.2,-49.612503,-9.88125,A,A2
1717673991902,-19.181252,-50.2125,-8.775001,A,A2
1717673992921,-19.59375,-50.006252,-9.1125,A,A2
1717673993903,-20.00625,-49.800003,-9.5625,A,A2
1717673994926,-20.268751,-49.612503,-9.918751,A,A2
1717673995911,-20.38125,-49.55625,-10.03125,A,A2
1717673996916,-20.4375,-49.537502,-10.087501,A,A2
1717673997775,-20.587502,-49.4625,-9.88125,A,A2
1717673999034,-20.60625,-49.48125,-9.95625,A,A2
1717674001028,-20.625,-49.518753,-10.06875,A,A2
1717674002528,-20.60625,-49.537502,-10.21875,A,A2
1717674004593,-20.625,-49.425003,-10.368751,A,A2
1717674007027,-20.6625,-49.3875,-10.556251,A,A2
1717674008638,-20.643751,-49.36875,-10.668751,A,A2
1717674010084,-20.550001,-49.36875,-10.725,A,A2
1717674011074,-20.306252,-49.48125,-11.043751,A,A2
1717674013182,-20.268751,-49.406254,-11.19375,A,A2
1717674015328,-20.25,-49.425003,-11.2875,A,A2
1717674016303,-20.25,-49.36875,-11.306251,A,A2
1717674017326,-20.15625,-49.425003,-11.306251,A,A2
1717674018301,-20.118752,-49.350002,-11.4375,A,A2
1717674019317,-19.987501,-48.91875,-11.625,A,A2
1717674020307,-19.0125,-48.6375,-11.55,A,A2
1717674021317,-17.04375,-48.54375,-11.00625,A,A2
1717674022311,-14.83125,-48.468754,-10.293751,A,A2
1717674023317,-12.675,-48.375004,-9.6,A,A2
1717674024306,-10.556251,-48.35625,-8.94375,A,A2
1717674025317,-8.53125,-48.35625,-8.19375,A,A2
1717674027122,-6.4125004,-48.393753,-7.4625,A,A2
1717674028102,-4.425,-48.787502,-6.5625005,A,A2
1717674029119,-3.35625,-49.0125,-6.0,A,A2
1717674030932,-3.2250001,-49.050003,-5.86875,A,A2
1717674032120,-3.3187501,-49.125004,-5.8875003,A,A2
1717674033109,-3.35625,-49.10625,-5.7937503,A,A2
1717674034292,-3.3187501,-49.10625,-5.8125,A,A2
1717674035299,-3.2812502,-49.068752,-5.86875,A,A2
1717674036315,-3.35625,-49.0875,-5.83125,A,A2
1717674037305,-3.35625,-49.050003,-5.9437504,A,A2
1717674038302,-3.3375,-49.031254,-6.01875,A,A2
1717674039303,-3.35625,-48.99375,-6.1125,A,A2
1717674040313,-3.3750002,-48.91875,-6.15,A,A2
1717674041300,-3.45,-48.937504,-6.3187504,A,A2
1717674043532,-3.5812502,-48.937504,-6.4500003,A,A2
1717674044511,-3.6562502,-48.937504,-6.5625005,A,A2
1717674045527,-3.7687502,-48.9,-6.6562505,A,A2
1717674046510,-3.7875001,-48.91875,-6.6375003,A,A2
1717674047524,-2.4562502,-48.768753,-6.6375003,A,A2
1717674048517,0.54375005,-47.49375,-8.025001,A,A2
1717674049525,4.0125003,-45.65625,-10.51875,A,A2
1717674050511,7.33125,-43.95,-13.181251,A,A2
1717674051517,10.8,-42.45,-15.468751,A,A2
1717674052511,14.00625,-40.800003,-18.1875,A,A2
1717674220054,29.41875,-9.675,-35.362503,B,B1
